,dist,gender,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,voted_gov
405001,9,Female,66,High School Graduate,White,60k - 70k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
405002,28,Female,31,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
405009,23,Female,54,High School Graduate,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405017,4,Female,79,Some College,White,30k - 40k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405018,19,Female,59,4-Year,White,100k - 120k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
405024,6,Female,37,Post-Grad,White,70k - 80k,Divorced,Most of the time,Disapprove / Somewhat Disapprove,Very Liberal,[Democrat / Candidate 1]
405049,15,Male,58,Post-Grad,White,150k+,Separated,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
405050,2,Female,76,Some College,White,100k - 120k,Divorced,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
405051,7,Female,62,Some College,White,40k - 50k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
405053,25,Female,77,High School Graduate,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
405085,8,Male,64,2-Year,Hispanic,60k - 70k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405095,48,Male,64,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
405129,45,Female,45,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
405133,50,Female,60,High School Graduate,White,Less than 10k,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405164,52,Male,64,Post-Grad,Other,150k+,Divorced,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405166,28,Female,70,Post-Grad,White,120k - 150k,Domestic Partnership,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
405211,4,Male,63,Post-Grad,White,20k - 30k,Married,Most of the time,Disapprove / Somewhat Disapprove,Very Liberal,[Democrat / Candidate 1]
405220,22,Male,54,4-Year,Native American,80k - 100k,Married,Most of the time,Strongly Disapprove,Very Liberal,[Republican / Candidate 2]
405243,45,Female,68,High School Graduate,White,40k - 50k,Divorced,Hardly at all,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405249,37,Female,23,4-Year,Mixed,Prefer not to say,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
405260,7,Female,73,Some College,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
405274,34,Male,49,2-Year,Asian,Prefer not to say,Single / Never Married,Only now and then,Strongly Disapprove,Moderate,[Republican / Candidate 2]
405277,31,Male,71,2-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
405291,8,Male,67,2-Year,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
405296,21,Male,61,2-Year,White,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
405312,42,Female,68,Post-Grad,White,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
405353,9,Female,57,Some College,White,Prefer not to say,Divorced,Most of the time,Approve / Somewhat Approve,Very Conservative,[Democrat / Candidate 1]
405364,22,Male,71,4-Year,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405372,38,Female,58,4-Year,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2]
405377,47,Male,62,Post-Grad,Other,10k - 20k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
405379,48,Male,86,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
405386,36,Female,70,2-Year,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
405402,19,Female,24,4-Year,Asian,70k - 80k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
405404,49,Female,65,4-Year,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
405419,11,Female,41,Some College,White,Prefer not to say,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
405422,12,Female,56,Some College,White,100k - 120k,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Liberal,Other
405445,3,Female,56,2-Year,White,30k - 40k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
405494,53,Male,56,4-Year,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
405500,48,Female,45,4-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
405513,18,Female,62,4-Year,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
405514,38,Male,81,4-Year,White,Prefer not to say,Widowed,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405523,44,Female,67,High School Graduate,Black,Less than 10k,Divorced,Only now and then,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
405540,31,Female,61,4-Year,Hispanic,20k - 30k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405543,10,Male,82,Some College,White,50k - 60k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405570,43,Female,54,Post-Grad,Black,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
405592,42,Male,77,Post-Grad,Black,120k - 150k,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
405602,44,Female,60,2-Year,Black,30k - 40k,Single / Never Married,Hardly at all,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
405632,7,Female,44,2-Year,White,80k - 100k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
405658,10,Female,51,No HS,White,20k - 30k,Married,Some of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
405659,46,Female,52,High School Graduate,Hispanic,80k - 100k,Divorced,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
405660,1,Female,88,High School Graduate,White,10k - 20k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405665,7,Female,51,Some College,Other,30k - 40k,Single / Never Married,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
405673,39,Female,65,Some College,White,30k - 40k,Divorced,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
405676,13,Female,36,Some College,Asian,60k - 70k,Single / Never Married,Don't Know,Never Heard / Not Sure,Not Sure,[Democrat / Candidate 1]
405701,31,Male,60,Some College,Black,60k - 70k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
405714,22,Female,83,4-Year,Hispanic,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
405751,15,Female,59,Some College,White,120k - 150k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
405754,32,Female,52,4-Year,White,30k - 40k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,I Did Not Vote In This Race
405773,13,Male,78,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
405796,50,Male,80,2-Year,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
405803,24,Male,18,No HS,Black,Prefer not to say,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,Not Sure
405804,7,Female,69,Post-Grad,White,150k+,Domestic Partnership,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
405840,33,Female,82,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
405844,8,Male,74,No HS,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
405851,39,Female,44,High School Graduate,Hispanic,80k - 100k,Married,Some of the time,Never Heard / Not Sure,Moderate,[Democrat / Candidate 1]
405877,24,Female,59,4-Year,White,50k - 60k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
405954,10,Male,52,Some College,White,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
405983,49,Male,81,4-Year,White,150k+,Married,Some of the time,Strongly Disapprove,Not Sure,[Republican / Candidate 2]
405985,46,Female,43,High School Graduate,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406003,42,Male,47,4-Year,Other,150k+,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
406018,32,Female,80,4-Year,White,40k - 50k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
406090,2,Male,73,4-Year,White,10k - 20k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
406110,22,Male,77,4-Year,White,40k - 50k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406111,35,Female,58,Some College,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406130,24,Female,21,2-Year,White,100k - 120k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
406169,23,Female,36,2-Year,Mixed,30k - 40k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
406175,1,Male,63,Some College,White,120k - 150k,Married,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
406191,26,Female,52,Some College,White,Less than 10k,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
406241,12,Female,60,4-Year,Asian,100k - 120k,Widowed,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
406247,36,Female,77,Some College,White,30k - 40k,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406338,19,Female,37,4-Year,White,20k - 30k,Widowed,Some of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
406356,3,Male,31,Post-Grad,White,70k - 80k,Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
406364,13,Male,30,4-Year,White,80k - 100k,Single / Never Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
406381,50,Male,64,Some College,White,20k - 30k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
406461,18,Female,74,Some College,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406468,30,Female,50,4-Year,Asian,80k - 100k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406480,20,Male,60,4-Year,White,60k - 70k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406500,3,Female,65,Some College,White,10k - 20k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
406505,8,Female,75,High School Graduate,White,10k - 20k,Widowed,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
406520,13,Male,70,No HS,Hispanic,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
406542,4,Male,67,High School Graduate,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406550,41,Female,35,2-Year,Hispanic,40k - 50k,Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
406556,38,Female,44,4-Year,White,80k - 100k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
406559,36,Male,66,No HS,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
406560,3,Female,20,High School Graduate,Hispanic,80k - 100k,Single / Never Married,Hardly at all,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2]
406581,50,Male,58,Some College,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
406593,18,Female,84,4-Year,Asian,Prefer not to say,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
406604,16,Male,52,Some College,White,60k - 70k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
406614,40,Female,30,Some College,Hispanic,70k - 80k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
406627,22,Female,57,Post-Grad,Black,100k - 120k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
406641,52,Male,60,4-Year,White,150k+,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
406647,4,Female,60,Some College,White,100k - 120k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406675,51,Female,69,High School Graduate,White,20k - 30k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
406686,9,Female,21,Some College,Asian,Less than 10k,Single / Never Married,Only now and then,Strongly Disapprove,Liberal,[Democrat / Candidate 1]
406692,36,Female,77,Some College,Hispanic,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
406709,38,Female,39,4-Year,Hispanic,40k - 50k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
406723,3,Male,58,High School Graduate,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
406736,5,Male,70,Some College,White,120k - 150k,Domestic Partnership,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
406784,20,Female,71,4-Year,White,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
406786,6,Male,74,4-Year,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406799,35,Female,40,High School Graduate,Hispanic,30k - 40k,Domestic Partnership,Some of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
406802,1,Female,56,2-Year,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2]
406804,36,Female,60,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
406846,11,Male,59,2-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
406870,34,Female,33,High School Graduate,White,40k - 50k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
406887,35,Male,66,High School Graduate,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
406903,10,Male,67,High School Graduate,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406933,37,Female,69,2-Year,White,40k - 50k,Domestic Partnership,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
406934,15,Male,64,Some College,White,60k - 70k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
406935,25,Female,58,High School Graduate,White,30k - 40k,Married,Only now and then,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
406976,10,Female,48,4-Year,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,Other
406985,36,Male,52,4-Year,White,20k - 30k,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
406989,4,Female,55,2-Year,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
406992,39,Female,79,Some College,White,30k - 40k,Divorced,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
406998,18,Female,20,Some College,White,Prefer not to say,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
407034,27,Female,39,Post-Grad,Hispanic,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
407035,42,Female,70,2-Year,White,40k - 50k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
407068,36,Female,53,2-Year,White,80k - 100k,Divorced,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
407099,41,Female,60,2-Year,Hispanic,10k - 20k,Separated,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
407102,13,Male,23,4-Year,White,100k - 120k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
407181,11,Female,21,Some College,White,150k+,Single / Never Married,Only now and then,Strongly Disapprove,Moderate,[Republican / Candidate 2]
407221,50,Male,46,4-Year,White,120k - 150k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
407248,33,Female,59,4-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Liberal,[Democrat / Candidate 1]
407268,12,Female,38,4-Year,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
407270,37,Female,45,Some College,Mixed,70k - 80k,Married,Some of the time,Strongly Disapprove,Not Sure,[Democrat / Candidate 1]
407287,20,Female,53,2-Year,White,70k - 80k,Domestic Partnership,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
407309,8,Female,63,High School Graduate,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Liberal,[Republican / Candidate 2]
407352,36,Female,53,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
407353,12,Female,49,Post-Grad,White,80k - 100k,Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
407357,52,Male,73,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
407373,31,Female,76,Some College,White,30k - 40k,Widowed,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
407379,18,Female,79,Post-Grad,White,60k - 70k,Divorced,Hardly at all,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
407412,45,Female,58,Post-Grad,White,150k+,Domestic Partnership,Some of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
407428,6,Female,64,2-Year,White,50k - 60k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
407453,18,Female,21,Some College,Mixed,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
407455,7,Male,64,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
407462,2,Female,85,Some College,White,50k - 60k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
407468,15,Male,50,2-Year,White,Less than 10k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
407476,23,Female,66,Post-Grad,Black,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
407486,51,Female,38,Some College,Hispanic,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
407509,19,Female,52,Post-Grad,White,80k - 100k,Separated,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
407553,8,Male,62,High School Graduate,White,20k - 30k,Divorced,Hardly at all,Strongly Approve,Moderate,[Democrat / Candidate 1]
407560,48,Female,81,High School Graduate,White,20k - 30k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
407590,18,Female,64,High School Graduate,White,10k - 20k,Widowed,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
407595,6,Female,48,4-Year,White,60k - 70k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
407604,27,Female,62,Post-Grad,White,100k - 120k,Single / Never Married,Only now and then,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
407610,9,Female,70,High School Graduate,White,60k - 70k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
407614,37,Female,33,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
407615,29,Male,51,Post-Grad,Black,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
407618,32,Female,50,Some College,White,Less than 10k,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
407654,27,Female,56,Post-Grad,White,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
407685,52,Female,74,Some College,White,60k - 70k,Divorced,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
407690,37,Male,23,Some College,Black,40k - 50k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
407712,22,Female,55,Some College,Hispanic,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
407728,53,Female,59,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
407806,50,Male,65,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
407808,4,Female,54,4-Year,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
407814,27,Male,59,Some College,White,70k - 80k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
407824,13,Male,57,4-Year,Black,Prefer not to say,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
407829,49,Female,64,2-Year,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
407838,15,Female,37,4-Year,Asian,80k - 100k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
407844,39,Male,85,Post-Grad,White,80k - 100k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
407850,40,Male,38,4-Year,White,120k - 150k,Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Democrat / Candidate 1]
407859,19,Male,51,Post-Grad,Asian,Prefer not to say,Married,Hardly at all,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
407895,51,Female,49,High School Graduate,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
407896,5,Male,64,Some College,White,60k - 70k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
407898,12,Male,53,2-Year,White,Less than 10k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
407923,1,Female,42,2-Year,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
407942,2,Female,33,High School Graduate,White,Less than 10k,Single / Never Married,Only now and then,Never Heard / Not Sure,Moderate,[Democrat / Candidate 1]
407959,42,Male,45,Post-Grad,White,40k - 50k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
407975,24,Female,57,2-Year,White,50k - 60k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2]
407987,7,Male,49,2-Year,White,60k - 70k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408022,2,Female,79,High School Graduate,White,150k+,Widowed,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
408034,46,Male,31,Some College,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408057,35,Female,54,High School Graduate,Hispanic,30k - 40k,Married,Most of the time,Never Heard / Not Sure,Not Sure,[Democrat / Candidate 1]
408072,34,Male,52,4-Year,White,120k - 150k,Domestic Partnership,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
408081,23,Female,22,High School Graduate,Asian,10k - 20k,Married,Most of the time,Strongly Approve,Liberal,[Republican / Candidate 2]
408083,31,Male,73,2-Year,Black,50k - 60k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
408097,10,Male,76,Some College,Hispanic,20k - 30k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
408117,20,Male,57,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
408123,18,Female,45,4-Year,White,80k - 100k,Divorced,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
408129,15,Male,37,High School Graduate,White,50k - 60k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
408139,5,Male,78,High School Graduate,Black,50k - 60k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
408147,19,Female,57,4-Year,White,150k+,Single / Never Married,Hardly at all,Approve / Somewhat Approve,Very Conservative,[Democrat / Candidate 1]
408170,29,Female,48,Post-Grad,White,50k - 60k,Divorced,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
408174,43,Female,79,Some College,White,70k - 80k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
408186,2,Male,60,Some College,White,60k - 70k,Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
408196,28,Male,62,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408204,45,Male,54,4-Year,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408221,18,Female,38,4-Year,Asian,Prefer not to say,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
408229,20,Male,80,2-Year,Hispanic,40k - 50k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
408236,9,Female,63,Post-Grad,Asian,120k - 150k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
408239,52,Female,88,2-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408254,50,Female,52,High School Graduate,White,Less than 10k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
408269,14,Female,47,Some College,White,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1]
408279,6,Female,32,Post-Grad,White,Prefer not to say,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
408309,8,Female,64,Some College,White,10k - 20k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
408316,2,Female,74,Some College,White,40k - 50k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
408320,47,Female,60,4-Year,White,40k - 50k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
408323,42,Male,53,High School Graduate,White,30k - 40k,Single / Never Married,Most of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1]
408333,47,Male,61,No HS,White,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
