,dist,gender,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,voted_gov,voted_gov_num
1147,19,Female,38,4-Year,Asian,40k - 50k,Married,Only now and then,Strongly Approve,Moderate,[Democrat / Candidate 1],0
1148,14,Male,21,Some College,White,Prefer not to say,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1149,11,Female,44,High School Graduate,Hispanic,150k+,Domestic Partnership,Some of the time,Strongly Disapprove,Moderate,[Democrat / Candidate 1],0
1150,31,Female,59,2-Year,White,100k - 120k,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1151,15,Male,50,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1152,11,Male,61,High School Graduate,Mixed,Prefer not to say,Single / Never Married,Don't Know,Strongly Disapprove,Not Sure,[Democrat / Candidate 1],0
1153,1,Female,66,4-Year,White,70k - 80k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1154,11,Female,50,No HS,Mixed,10k - 20k,Separated,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1155,7,Male,53,4-Year,White,60k - 70k,Divorced,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
1156,32,Female,52,Some College,White,30k - 40k,Single / Never Married,Hardly at all,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1157,37,Male,65,4-Year,White,120k - 150k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1158,3,Female,58,High School Graduate,White,20k - 30k,Married,Most of the time,Strongly Approve,Not Sure,[Democrat / Candidate 1],0
1159,38,Female,56,High School Graduate,Hispanic,Prefer not to say,Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1160,43,Female,46,Post-Grad,White,30k - 40k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1161,38,Male,63,Post-Grad,Asian,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1162,52,Female,55,4-Year,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1163,2,Female,66,Some College,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1164,29,Female,46,Some College,Hispanic,30k - 40k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
1165,7,Female,23,Some College,White,80k - 100k,Single / Never Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1166,17,Male,23,Some College,Asian,40k - 50k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1167,4,Female,62,4-Year,White,150k+,Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1168,40,Female,57,2-Year,Hispanic,10k - 20k,Divorced,Only now and then,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1],0
1169,32,Male,51,2-Year,Hispanic,50k - 60k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2],1
1170,17,Male,33,Post-Grad,Asian,80k - 100k,Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1],0
1171,26,Male,64,High School Graduate,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1172,36,Female,63,High School Graduate,White,10k - 20k,Married,Only now and then,Disapprove / Somewhat Disapprove,Liberal,[Republican / Candidate 2],1
1173,2,Male,33,Some College,White,120k - 150k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1174,48,Female,43,4-Year,White,80k - 100k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1175,6,Female,45,2-Year,White,30k - 40k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1176,39,Female,82,High School Graduate,White,Prefer not to say,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1177,30,Male,59,Post-Grad,White,Less than 10k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1178,4,Female,43,2-Year,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1179,22,Female,47,Post-Grad,Mixed,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1180,26,Male,61,4-Year,White,40k - 50k,Divorced,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
1181,19,Female,37,Some College,Asian,80k - 100k,Single / Never Married,Hardly at all,Never Heard / Not Sure,Not Sure,[Democrat / Candidate 1],0
1182,3,Female,45,4-Year,White,30k - 40k,Married,Only now and then,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1183,1,Male,59,Post-Grad,Other,10k - 20k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1184,4,Male,80,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1185,6,Female,47,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1186,24,Female,75,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1187,5,Female,55,No HS,White,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1188,12,Male,66,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1189,27,Female,59,4-Year,Hispanic,80k - 100k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1190,14,Female,60,High School Graduate,Black,Less than 10k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,[Democrat / Candidate 1],0
1191,31,Female,60,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1192,51,Male,31,4-Year,Hispanic,20k - 30k,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1193,36,Male,53,2-Year,White,60k - 70k,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1],0
1194,39,Female,38,Some College,White,40k - 50k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1195,43,Female,67,High School Graduate,Black,10k - 20k,Divorced,Some of the time,Disapprove / Somewhat Disapprove,Conservative,[Democrat / Candidate 1],0
1196,37,Male,57,High School Graduate,Black,40k - 50k,Divorced,Some of the time,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1],0
1197,26,Female,78,No HS,White,20k - 30k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1198,19,Male,39,4-Year,Mixed,Less than 10k,Domestic Partnership,Most of the time,Strongly Disapprove,Liberal,[Republican / Candidate 2],1
1199,36,Female,59,4-Year,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1200,43,Female,69,Some College,Black,40k - 50k,Domestic Partnership,Hardly at all,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1],0
1201,35,Female,36,2-Year,White,20k - 30k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1202,8,Female,45,4-Year,Hispanic,120k - 150k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1203,52,Male,48,Some College,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1204,49,Female,53,4-Year,White,30k - 40k,Divorced,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1205,35,Female,43,High School Graduate,Hispanic,30k - 40k,Married,Some of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Democrat / Candidate 1],0
1206,26,Male,58,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1207,14,Female,47,Some College,Asian,Prefer not to say,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1208,23,Female,65,No HS,Black,10k - 20k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1209,38,Male,57,4-Year,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1210,52,Female,21,Some College,White,Less than 10k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1],0
1211,34,Male,39,4-Year,Asian,70k - 80k,Divorced,Hardly at all,Strongly Disapprove,Liberal,[Democrat / Candidate 1],0
1212,10,Female,50,Some College,White,80k - 100k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1],0
1213,34,Female,40,Some College,White,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
1214,45,Female,33,4-Year,White,100k - 120k,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1],0
1215,15,Male,43,Post-Grad,Asian,150k+,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
1216,26,Female,64,2-Year,White,30k - 40k,Divorced,Some of the time,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1],0
1217,38,Male,51,High School Graduate,Hispanic,Prefer not to say,Single / Never Married,Some of the time,Strongly Approve,Very Conservative,[Democrat / Candidate 1],0
1218,44,Female,46,High School Graduate,Hispanic,20k - 30k,Single / Never Married,Don't Know,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1219,23,Female,40,High School Graduate,White,10k - 20k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1220,14,Male,47,Post-Grad,Mixed,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1221,26,Female,41,High School Graduate,White,Less than 10k,Divorced,Only now and then,Never Heard / Not Sure,Very Conservative,[Republican / Candidate 2],1
1222,52,Male,25,Post-Grad,White,60k - 70k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1223,12,Male,56,Some College,Asian,100k - 120k,Single / Never Married,Only now and then,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1],0
1224,27,Female,29,4-Year,Asian,30k - 40k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1225,16,Male,49,High School Graduate,Hispanic,20k - 30k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1226,5,Male,64,High School Graduate,White,20k - 30k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1227,1,Male,61,2-Year,White,30k - 40k,Married,Hardly at all,Never Heard / Not Sure,Conservative,[Republican / Candidate 2],1
1228,16,Male,71,Post-Grad,Hispanic,Prefer not to say,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1229,6,Male,63,4-Year,White,150k+,Married,Some of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2],1
1230,41,Male,64,Some College,Hispanic,40k - 50k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1231,31,Female,48,4-Year,Asian,30k - 40k,Divorced,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1232,6,Female,71,High School Graduate,White,Prefer not to say,Married,Some of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2],1
1233,4,Male,40,4-Year,White,70k - 80k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Republican / Candidate 2],1
1234,19,Male,64,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1235,3,Male,62,Some College,White,Prefer not to say,Domestic Partnership,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1236,4,Male,78,Some College,Hispanic,100k - 120k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1238,36,Male,83,4-Year,White,Prefer not to say,Divorced,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1239,21,Female,60,High School Graduate,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1240,39,Female,78,High School Graduate,White,80k - 100k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1241,33,Female,29,2-Year,White,80k - 100k,Divorced,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1242,43,Male,62,Some College,Hispanic,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1243,52,Male,54,4-Year,Asian,70k - 80k,Married,Only now and then,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2],1
1245,15,Female,37,2-Year,White,70k - 80k,Divorced,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1246,3,Male,58,4-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1247,33,Male,58,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1],0
1248,5,Female,50,Some College,White,10k - 20k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1249,50,Male,55,2-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1250,52,Female,80,Some College,White,Prefer not to say,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1251,8,Male,58,Some College,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1252,2,Male,65,High School Graduate,Native American,20k - 30k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1253,11,Female,63,Post-Grad,White,120k - 150k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2],1
1254,36,Female,30,Some College,White,30k - 40k,Married,Only now and then,Strongly Disapprove,Moderate,[Democrat / Candidate 1],0
1255,3,Female,36,4-Year,Black,60k - 70k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1256,13,Male,29,Some College,Mixed,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1257,50,Male,42,Some College,White,80k - 100k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1258,31,Male,67,High School Graduate,Hispanic,150k+,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
1259,36,Male,66,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1260,11,Female,60,2-Year,White,20k - 30k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2],1
1261,10,Female,47,4-Year,Middle Eastern,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1263,32,Male,64,High School Graduate,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1264,24,Male,48,Some College,White,20k - 30k,Separated,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1265,39,Male,57,Some College,Native American,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1266,52,Male,57,Some College,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1267,5,Female,24,4-Year,White,120k - 150k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1268,53,Male,40,Some College,Hispanic,70k - 80k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1269,8,Female,53,High School Graduate,White,30k - 40k,Married,Only now and then,Strongly Disapprove,Conservative,[Democrat / Candidate 1],0
1270,8,Male,38,4-Year,Hispanic,60k - 70k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1271,6,Female,77,Some College,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1272,14,Female,36,Post-Grad,Asian,30k - 40k,Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1273,25,Female,64,High School Graduate,Hispanic,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1274,25,Female,38,4-Year,White,120k - 150k,Married,Hardly at all,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1],0
1275,39,Female,54,4-Year,Asian,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1276,9,Female,72,Post-Grad,Black,Prefer not to say,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Very Liberal,[Democrat / Candidate 1],0
1277,23,Female,66,Some College,White,40k - 50k,Divorced,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1278,6,Female,74,High School Graduate,White,30k - 40k,Divorced,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1279,24,Female,71,Post-Grad,White,120k - 150k,Widowed,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1280,49,Female,68,No HS,White,10k - 20k,Divorced,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1281,6,Male,58,Some College,White,10k - 20k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1282,12,Male,54,Some College,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1283,38,Female,47,Some College,Hispanic,Less than 10k,Married,Some of the time,Strongly Disapprove,Moderate,[Democrat / Candidate 1],0
1284,25,Female,63,High School Graduate,White,70k - 80k,Married,Only now and then,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1285,47,Female,33,High School Graduate,White,10k - 20k,Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1286,37,Male,51,Some College,White,Less than 10k,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1287,16,Male,47,2-Year,White,40k - 50k,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1288,17,Male,27,Post-Grad,White,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1289,37,Female,36,4-Year,Hispanic,120k - 150k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1290,7,Female,58,Some College,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1291,18,Female,26,Post-Grad,Hispanic,Prefer not to say,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1],0
1292,28,Male,68,High School Graduate,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1293,2,Female,50,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1294,6,Female,44,Post-Grad,White,120k - 150k,Married,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1295,39,Female,62,Some College,White,50k - 60k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1296,11,Male,29,4-Year,White,Prefer not to say,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1297,45,Female,44,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2],1
1298,14,Male,38,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1299,7,Male,56,2-Year,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1300,4,Male,87,4-Year,White,10k - 20k,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1301,39,Male,83,4-Year,White,80k - 100k,Domestic Partnership,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1303,5,Female,49,Some College,Black,50k - 60k,Widowed,Only now and then,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2],1
1304,16,Male,63,High School Graduate,Hispanic,50k - 60k,Divorced,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
1305,50,Female,25,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1306,51,Female,50,High School Graduate,White,20k - 30k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1307,11,Male,63,Some College,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1308,36,Male,45,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1309,28,Female,51,4-Year,White,50k - 60k,Single / Never Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1310,5,Female,61,High School Graduate,White,10k - 20k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1],0
1311,19,Female,80,4-Year,White,100k - 120k,Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1312,25,Male,44,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1313,6,Female,60,Some College,White,60k - 70k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1314,53,Male,50,Some College,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1315,45,Female,29,Post-Grad,White,Prefer not to say,Married,Most of the time,Never Heard / Not Sure,Very Liberal,[Democrat / Candidate 1],0
1316,51,Male,54,Some College,White,20k - 30k,Divorced,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
1317,16,Female,27,Some College,Mixed,Prefer not to say,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1],0
1318,14,Male,39,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1319,45,Female,87,High School Graduate,White,Prefer not to say,Divorced,Only now and then,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1320,33,Female,24,4-Year,White,150k+,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1322,31,Male,72,High School Graduate,White,70k - 80k,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1323,50,Male,23,Some College,White,60k - 70k,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1324,51,Male,64,2-Year,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1325,26,Female,70,High School Graduate,White,40k - 50k,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1326,2,Female,48,4-Year,White,70k - 80k,Married,Only now and then,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1327,22,Female,54,4-Year,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1328,6,Female,72,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1329,18,Female,61,4-Year,Hispanic,120k - 150k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1330,24,Female,43,Post-Grad,White,Prefer not to say,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1331,10,Female,33,High School Graduate,White,30k - 40k,Domestic Partnership,Only now and then,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1332,6,Female,51,No HS,White,Less than 10k,Widowed,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1333,17,Male,37,Some College,Black,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1],0
1334,43,Female,76,Some College,White,30k - 40k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1335,45,Male,57,4-Year,White,60k - 70k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1336,42,Female,73,High School Graduate,Hispanic,20k - 30k,Divorced,Only now and then,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1337,2,Male,50,2-Year,White,20k - 30k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1338,49,Male,48,High School Graduate,White,70k - 80k,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2],1
1339,51,Female,34,4-Year,White,50k - 60k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1340,39,Female,65,2-Year,White,Prefer not to say,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2],1
1341,49,Female,33,4-Year,White,Prefer not to say,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1342,36,Female,76,High School Graduate,White,50k - 60k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1343,43,Male,46,2-Year,Hispanic,10k - 20k,Single / Never Married,Some of the time,Strongly Disapprove,Moderate,[Democrat / Candidate 1],0
1344,13,Female,30,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1],0
1345,27,Male,55,4-Year,Asian,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2],1
1346,7,Female,54,2-Year,White,50k - 60k,Married,Only now and then,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2],1
1347,33,Male,36,Post-Grad,White,80k - 100k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2],1
1348,19,Female,51,4-Year,White,80k - 100k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1],0
1349,1,Male,66,4-Year,White,20k - 30k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1350,25,Female,73,Some College,White,10k - 20k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1351,35,Male,29,4-Year,White,Prefer not to say,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1],0
1352,15,Male,70,No HS,White,50k - 60k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2],1
1353,38,Male,57,High School Graduate,Black,Prefer not to say,Divorced,Only now and then,Never Heard / Not Sure,Not Sure,[Democrat / Candidate 1],0
1354,33,Male,34,4-Year,Hispanic,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Very Conservative,[Republican / Candidate 2],1
1355,52,Female,54,4-Year,Other,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2],1
1356,53,Female,59,Some College,White,10k - 20k,Divorced,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1],0
1357,31,Female,42,High School Graduate,Hispanic,40k - 50k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1],0
1358,12,Male,77,Post-Grad,White,120k - 150k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2],1
