,dist,gender,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,ownhome,pid3,voted_gov
38359,18,Male,78,4-Year,White,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38360,49,Female,75,Some College,White,30k - 40k,Divorced,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38361,7,Female,68,Post-Grad,White,70k - 80k,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38362,23,Female,67,Post-Grad,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Own,Independent,[Democrat / Candidate 1]
38363,36,Female,51,Some College,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
38364,1,Female,49,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38365,37,Male,41,Post-Grad,Black,150k+,Married,Some of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38366,6,Male,29,4-Year,Asian,30k - 40k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Own,Independent,[Democrat / Candidate 1]
38368,31,Female,36,2-Year,Black,30k - 40k,Single / Never Married,Hardly at all,Never Heard / Not Sure,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38369,31,Female,19,Some College,Hispanic,120k - 150k,Single / Never Married,Only now and then,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38370,18,Male,78,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38372,27,Female,60,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38373,6,Male,67,2-Year,White,40k - 50k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38374,42,Female,80,4-Year,White,30k - 40k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38375,2,Female,74,Post-Grad,White,100k - 120k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38376,39,Female,70,Some College,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38377,9,Female,58,Some College,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38378,21,Male,38,Post-Grad,Hispanic,100k - 120k,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38379,27,Male,81,4-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Moderate,Own,Republican,[Republican / Candidate 2]
38380,24,Female,77,Post-Grad,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38381,26,Male,63,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38382,19,Female,31,2-Year,White,Less than 10k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38383,3,Female,18,Some College,Hispanic,20k - 30k,Single / Never Married,Only now and then,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38384,8,Male,58,Post-Grad,White,70k - 80k,Married,Only now and then,Approve / Somewhat Approve,Conservative,Own,Republican,[Republican / Candidate 2]
38386,24,Female,71,4-Year,White,60k - 70k,Widowed,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38388,36,Female,79,Post-Grad,White,60k - 70k,Widowed,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Independent,[Democrat / Candidate 1]
38389,36,Female,77,4-Year,White,60k - 70k,Divorced,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38390,20,Male,63,4-Year,White,100k - 120k,Married,Some of the time,Disapprove / Somewhat Disapprove,Moderate,Other,Other,[Democrat / Candidate 1]
38391,36,Female,59,4-Year,Asian,70k - 80k,Widowed,Some of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38392,28,Male,58,2-Year,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38393,30,Male,63,Some College,White,40k - 50k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
38394,1,Male,80,Post-Grad,Native American,70k - 80k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38395,51,Female,46,Post-Grad,White,80k - 100k,Single / Never Married,Some of the time,Strongly Disapprove,Moderate,Rent,Independent,[Republican / Candidate 2]
38396,1,Female,73,Some College,White,70k - 80k,Divorced,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38398,22,Male,35,4-Year,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38399,12,Female,67,4-Year,White,20k - 30k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,Rent,Republican,[Republican / Candidate 2]
38400,52,Female,69,4-Year,White,30k - 40k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38401,33,Female,72,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38402,40,Female,63,Some College,White,30k - 40k,Married,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38403,26,Female,67,4-Year,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38404,43,Female,79,2-Year,Asian,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
38405,8,Male,60,2-Year,White,Prefer not to say,Divorced,Some of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38406,36,Female,41,Some College,Hispanic,70k - 80k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Very Liberal,Own,Independent,[Democrat / Candidate 1]
38407,26,Male,71,4-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38408,1,Male,70,High School Graduate,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
38409,11,Female,71,2-Year,White,20k - 30k,Divorced,Most of the time,Strongly Approve,Very Liberal,Rent,Independent,[Democrat / Candidate 1]
38410,28,Female,72,2-Year,White,30k - 40k,Married,Some of the time,Strongly Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38412,51,Female,66,Post-Grad,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38413,2,Female,77,4-Year,White,30k - 40k,Divorced,Most of the time,Strongly Approve,Very Liberal,Other,Democrat,[Democrat / Candidate 1]
38414,13,Female,36,4-Year,Asian,Prefer not to say,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Liberal,Own,Democrat,[Democrat / Candidate 1]
38415,1,Male,68,Post-Grad,White,100k - 120k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38416,46,Male,38,Post-Grad,Asian,100k - 120k,Married,Most of the time,Strongly Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38417,48,Female,83,Some College,White,80k - 100k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,Own,Other,[Republican / Candidate 2]
38420,36,Female,22,4-Year,Asian,70k - 80k,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,Other,Democrat,[Democrat / Candidate 1]
38421,47,Male,49,4-Year,Asian,60k - 70k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38422,28,Female,67,4-Year,Black,10k - 20k,Widowed,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38423,42,Female,51,Post-Grad,White,100k - 120k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,Own,Republican,[Republican / Candidate 2]
38425,24,Female,52,Some College,Hispanic,60k - 70k,Married,Only now and then,Approve / Somewhat Approve,Not Sure,Rent,Democrat,[Democrat / Candidate 1]
38427,38,Female,52,Post-Grad,Hispanic,100k - 120k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38428,18,Male,58,Post-Grad,Asian,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38429,11,Male,67,4-Year,White,20k - 30k,Single / Never Married,Hardly at all,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38430,30,Female,36,Post-Grad,Other,60k - 70k,Married,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
38432,8,Male,68,2-Year,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38433,17,Female,59,4-Year,White,120k - 150k,Domestic Partnership,Most of the time,Strongly Disapprove,Very Liberal,Own,Other,[Democrat / Candidate 1]
38434,48,Female,64,4-Year,White,40k - 50k,Married,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38435,17,Male,51,2-Year,White,150k+,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38436,13,Female,57,Some College,White,80k - 100k,Married,Some of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38438,40,Female,72,2-Year,White,50k - 60k,Married,Only now and then,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38439,3,Male,69,4-Year,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Republican,[Democrat / Candidate 1]
38440,11,Female,70,Some College,White,20k - 30k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38441,29,Male,46,4-Year,White,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38442,4,Male,68,Post-Grad,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38443,15,Female,56,Post-Grad,White,150k+,Widowed,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38444,41,Female,62,2-Year,White,Prefer not to say,Divorced,Most of the time,Disapprove / Somewhat Disapprove,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38445,31,Female,58,2-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38447,23,Male,36,Some College,White,10k - 20k,Single / Never Married,Some of the time,Disapprove / Somewhat Disapprove,Very Liberal,Rent,Independent,[Democrat / Candidate 1]
38448,6,Female,60,Post-Grad,White,100k - 120k,Domestic Partnership,Most of the time,Strongly Disapprove,Moderate,Own,Republican,[Republican / Candidate 2]
38449,12,Male,66,Some College,White,20k - 30k,Divorced,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38450,52,Female,69,4-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38451,28,Male,35,Post-Grad,White,120k - 150k,Married,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38452,5,Male,60,4-Year,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Own,Other,[Democrat / Candidate 1]
38453,46,Female,27,Post-Grad,Asian,120k - 150k,Single / Never Married,Some of the time,Strongly Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38454,37,Male,22,4-Year,White,100k - 120k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38455,6,Female,55,2-Year,Mixed,70k - 80k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38456,33,Female,34,Post-Grad,White,40k - 50k,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Independent,[Republican / Candidate 2]
38457,36,Male,86,2-Year,White,50k - 60k,Domestic Partnership,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38458,33,Female,58,High School Graduate,White,60k - 70k,Married,Most of the time,Strongly Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38459,5,Female,72,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,Own,Other,[Democrat / Candidate 1]
38460,23,Female,61,4-Year,White,60k - 70k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38461,39,Female,27,Post-Grad,Asian,20k - 30k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,Rent,Independent,[Republican / Candidate 2]
38462,1,Female,66,2-Year,White,30k - 40k,Divorced,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Republican,[Democrat / Candidate 1]
38463,31,Male,75,Some College,White,50k - 60k,Married,Most of the time,Strongly Disapprove,Moderate,Own,Republican,[Republican / Candidate 2]
38464,24,Male,77,Some College,White,40k - 50k,Married,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38465,26,Male,72,4-Year,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38466,7,Female,72,4-Year,White,Prefer not to say,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,Own,Other,[Democrat / Candidate 1]
38467,49,Female,52,4-Year,White,120k - 150k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38468,31,Male,48,Post-Grad,Black,150k+,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Republican / Candidate 2]
38469,12,Female,50,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38470,52,Male,60,4-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
38471,11,Male,58,4-Year,White,120k - 150k,Married,Some of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38472,11,Female,63,Post-Grad,White,80k - 100k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,Own,Republican,[Republican / Candidate 2]
38473,2,Female,66,4-Year,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,Rent,Republican,[Republican / Candidate 2]
38474,26,Male,85,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38476,13,Female,31,Post-Grad,White,Prefer not to say,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38477,19,Male,72,Some College,White,20k - 30k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,Rent,Republican,[Republican / Candidate 2]
38478,4,Female,77,4-Year,White,50k - 60k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,Own,Republican,[Republican / Candidate 2]
38479,7,Male,85,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38480,10,Female,57,Some College,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
38481,14,Male,25,Some College,Asian,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38482,6,Female,69,Post-Grad,White,80k - 100k,Divorced,Most of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
38483,30,Female,76,4-Year,White,20k - 30k,Divorced,Most of the time,Strongly Disapprove,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38484,25,Female,33,High School Graduate,Hispanic,10k - 20k,Single / Never Married,Only now and then,Disapprove / Somewhat Disapprove,Not Sure,Own,Not Sure,[Democrat / Candidate 1]
38485,2,Female,85,4-Year,White,50k - 60k,Widowed,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38486,14,Male,69,Some College,White,70k - 80k,Divorced,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38487,1,Male,64,Post-Grad,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38488,8,Female,77,Some College,White,100k - 120k,Widowed,Some of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38489,14,Female,61,4-Year,White,100k - 120k,Married,Most of the time,Strongly Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38490,36,Male,50,4-Year,White,150k+,Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,Own,Republican,[Democrat / Candidate 1]
38491,50,Male,72,Post-Grad,White,150k+,Widowed,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38492,11,Female,77,4-Year,White,40k - 50k,Widowed,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38493,36,Male,77,Post-Grad,White,50k - 60k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38494,27,Male,47,Post-Grad,White,120k - 150k,Single / Never Married,Most of the time,Strongly Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38495,39,Male,67,Some College,White,50k - 60k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38496,2,Female,72,Post-Grad,White,40k - 50k,Separated,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38497,49,Female,58,4-Year,White,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38498,33,Male,80,Post-Grad,White,100k - 120k,Married,Most of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38499,50,Female,54,2-Year,White,40k - 50k,Divorced,Most of the time,Strongly Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
38500,53,Female,37,2-Year,White,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38501,16,Male,69,4-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38502,1,Female,53,4-Year,White,120k - 150k,Divorced,Some of the time,Approve / Somewhat Approve,Moderate,Own,Independent,[Republican / Candidate 2]
38503,48,Female,85,Post-Grad,White,80k - 100k,Widowed,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38504,10,Female,18,Some College,Mixed,Prefer not to say,Single / Never Married,Some of the time,Never Heard / Not Sure,Very Conservative,Own,Other,[Republican / Candidate 2]
38505,21,Male,84,Some College,White,40k - 50k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38506,5,Female,54,4-Year,White,20k - 30k,Divorced,Some of the time,Approve / Somewhat Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38507,2,Male,61,4-Year,White,10k - 20k,Divorced,Some of the time,Disapprove / Somewhat Disapprove,Moderate,Own,Democrat,[Democrat / Candidate 1]
38508,11,Female,70,4-Year,White,10k - 20k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
38509,30,Female,37,Some College,White,50k - 60k,Domestic Partnership,Some of the time,Disapprove / Somewhat Disapprove,Moderate,Rent,Independent,[Democrat / Candidate 1]
38510,36,Male,77,Post-Grad,White,120k - 150k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38512,50,Female,70,4-Year,White,20k - 30k,Widowed,Most of the time,Approve / Somewhat Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38514,33,Male,43,Some College,Black,70k - 80k,Single / Never Married,Most of the time,Strongly Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
38515,2,Female,69,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38516,45,Male,70,Post-Grad,White,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38517,52,Male,77,Post-Grad,White,150k+,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,Own,Republican,[Democrat / Candidate 1]
38518,24,Female,55,Some College,White,40k - 50k,Married,Some of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38520,5,Male,70,2-Year,White,30k - 40k,Divorced,Most of the time,Strongly Disapprove,Conservative,Own,Independent,[Republican / Candidate 2]
38521,18,Male,76,Some College,White,50k - 60k,Separated,Most of the time,Approve / Somewhat Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38522,28,Male,33,2-Year,Hispanic,50k - 60k,Married,Some of the time,Strongly Disapprove,Moderate,Rent,Republican,[Republican / Candidate 2]
38523,3,Male,74,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38524,7,Male,70,Post-Grad,White,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38526,17,Female,30,Post-Grad,Asian,80k - 100k,Married,Most of the time,Strongly Approve,Very Conservative,Rent,Democrat,[Democrat / Candidate 1]
38527,27,Female,67,4-Year,White,150k+,Married,Most of the time,Strongly Disapprove,Moderate,Own,Independent,[Republican / Candidate 2]
38529,49,Female,60,Some College,White,Prefer not to say,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38530,4,Male,44,Post-Grad,White,150k+,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38532,35,Female,60,High School Graduate,White,20k - 30k,Domestic Partnership,Most of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38534,2,Male,30,High School Graduate,White,70k - 80k,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,Own,Republican,[Republican / Candidate 2]
38535,11,Male,61,4-Year,White,150k+,Single / Never Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38536,7,Female,80,Post-Grad,White,30k - 40k,Widowed,Some of the time,Approve / Somewhat Approve,Conservative,Own,Republican,[Republican / Candidate 2]
38537,3,Female,70,2-Year,White,120k - 150k,Widowed,Some of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38538,13,Female,74,Some College,Black,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,Own,Other,[Democrat / Candidate 1]
38539,9,Male,48,2-Year,White,50k - 60k,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38540,20,Female,62,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38542,46,Male,78,2-Year,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38543,36,Female,76,4-Year,White,10k - 20k,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38544,12,Female,76,Some College,Mixed,10k - 20k,Divorced,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38545,23,Female,68,2-Year,White,Prefer not to say,Divorced,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38546,26,Female,55,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38547,7,Female,30,2-Year,Mixed,20k - 30k,Divorced,Some of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,I Did Not Vote In This Race
38549,14,Female,80,Post-Grad,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38550,6,Female,63,Some College,White,30k - 40k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Rent,Democrat,[Democrat / Candidate 1]
38551,20,Female,47,Post-Grad,White,150k+,Married,Some of the time,Disapprove / Somewhat Disapprove,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38552,33,Male,77,4-Year,White,20k - 30k,Widowed,Most of the time,Approve / Somewhat Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38553,23,Male,58,Some College,White,40k - 50k,Married,Most of the time,Approve / Somewhat Approve,Moderate,Rent,Independent,[Democrat / Candidate 1]
38554,36,Male,90,4-Year,White,30k - 40k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38555,12,Male,65,4-Year,Asian,40k - 50k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38556,27,Female,26,Post-Grad,White,120k - 150k,Married,Most of the time,Strongly Approve,Very Liberal,Own,Democrat,[Democrat / Candidate 1]
38557,35,Female,67,4-Year,White,Prefer not to say,Divorced,Most of the time,Strongly Disapprove,Very Conservative,Own,Republican,[Republican / Candidate 2]
38558,26,Male,56,4-Year,White,40k - 50k,Married,Some of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38559,47,Male,26,4-Year,Asian,60k - 70k,Single / Never Married,Some of the time,Strongly Approve,Liberal,Rent,Democrat,[Democrat / Candidate 1]
38560,15,Male,74,2-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Conservative,Own,Independent,[Republican / Candidate 2]
38561,3,Female,48,4-Year,Black,50k - 60k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,Own,Democrat,[Democrat / Candidate 1]
38562,13,Male,51,Some College,White,20k - 30k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Liberal,Rent,Independent,[Democrat / Candidate 1]
38563,47,Male,34,4-Year,White,120k - 150k,Married,Some of the time,Approve / Somewhat Approve,Liberal,Own,Democrat,[Democrat / Candidate 1]
38564,10,Female,60,2-Year,White,10k - 20k,Single / Never Married,Hardly at all,Never Heard / Not Sure,Moderate,Rent,Democrat,[Democrat / Candidate 1]
38565,38,Female,75,High School Graduate,White,20k - 30k,Widowed,Most of the time,Strongly Disapprove,Very Conservative,Own,Other,[Republican / Candidate 2]
38566,41,Male,33,4-Year,White,30k - 40k,Single / Never Married,Most of the time,Never Heard / Not Sure,Liberal,Own,Democrat,[Democrat / Candidate 1]
38568,9,Male,62,Post-Grad,White,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Moderate,Own,Independent,[Democrat / Candidate 1]
38569,20,Female,47,4-Year,Asian,50k - 60k,Married,Only now and then,Approve / Somewhat Approve,Liberal,Own,Independent,[Republican / Candidate 2]
38570,15,Male,57,4-Year,White,60k - 70k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,Rent,Other,[Republican / Candidate 2]
38572,12,Male,37,4-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Liberal,Own,Republican,[Republican / Candidate 2]
