,dist,cong,gender,birthyr,age,educ,race,faminc,marstat,newsint,approval_gov,ideo5,voted_gov
407959,42,115,Male,1973,45,Post-Grad,White,40k - 50k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
407975,24,115,Female,1961,57,2-Year,White,50k - 60k,Married,Some of the time,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2]
407987,7,115,Male,1969,49,2-Year,White,60k - 70k,Divorced,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408022,2,115,Female,1939,79,High School Graduate,White,150k+,Widowed,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
408034,46,115,Male,1987,31,Some College,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408057,35,115,Female,1964,54,High School Graduate,Hispanic,30k - 40k,Married,Most of the time,Never Heard / Not Sure,Not Sure,[Democrat / Candidate 1]
408072,34,115,Male,1966,52,4-Year,White,120k - 150k,Domestic Partnership,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
408081,23,115,Female,1996,22,High School Graduate,Asian,10k - 20k,Married,Most of the time,Strongly Approve,Liberal,[Republican / Candidate 2]
408083,31,115,Male,1945,73,2-Year,Black,50k - 60k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
408097,10,115,Male,1942,76,Some College,Hispanic,20k - 30k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
408117,20,115,Male,1961,57,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
408123,18,115,Female,1973,45,4-Year,White,80k - 100k,Divorced,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
408129,15,115,Male,1981,37,High School Graduate,White,50k - 60k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
408139,5,115,Male,1940,78,High School Graduate,Black,50k - 60k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
408147,19,115,Female,1961,57,4-Year,White,150k+,Single / Never Married,Hardly at all,Approve / Somewhat Approve,Very Conservative,[Democrat / Candidate 1]
408170,29,115,Female,1970,48,Post-Grad,White,50k - 60k,Divorced,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
408174,43,115,Female,1939,79,Some College,White,70k - 80k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
408186,2,115,Male,1958,60,Some College,White,60k - 70k,Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
408196,28,115,Male,1956,62,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408204,45,115,Male,1964,54,4-Year,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408221,18,115,Female,1980,38,4-Year,Asian,Prefer not to say,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
408229,20,115,Male,1938,80,2-Year,Hispanic,40k - 50k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
408236,9,115,Female,1955,63,Post-Grad,Asian,120k - 150k,Widowed,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
408239,52,115,Female,1930,88,2-Year,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408254,50,115,Female,1966,52,High School Graduate,White,Less than 10k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
408269,14,115,Female,1971,47,Some College,White,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1]
408279,6,115,Female,1986,32,Post-Grad,White,Prefer not to say,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
408309,8,115,Female,1954,64,Some College,White,10k - 20k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
408316,2,115,Female,1944,74,Some College,White,40k - 50k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
408320,47,115,Female,1958,60,4-Year,White,40k - 50k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
408323,42,115,Male,1965,53,High School Graduate,White,30k - 40k,Single / Never Married,Most of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1]
408333,47,115,Male,1957,61,No HS,White,20k - 30k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
408358,24,115,Male,1956,62,4-Year,White,120k - 150k,Divorced,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
408408,7,115,Female,1972,46,Some College,Hispanic,30k - 40k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2]
408432,23,115,Male,1958,60,2-Year,White,100k - 120k,Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
408445,4,115,Female,1963,55,2-Year,White,80k - 100k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
408458,38,115,Female,1945,73,4-Year,Black,20k - 30k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
408476,19,115,Female,1980,38,4-Year,Asian,40k - 50k,Married,Only now and then,Strongly Approve,Moderate,[Democrat / Candidate 1]
408479,14,115,Male,1997,21,Some College,White,Prefer not to say,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
408483,11,115,Female,1974,44,High School Graduate,Hispanic,150k+,Domestic Partnership,Some of the time,Strongly Disapprove,Moderate,[Democrat / Candidate 1]
408485,31,115,Female,1959,59,2-Year,White,100k - 120k,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
408557,15,115,Male,1968,50,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
408568,11,115,Male,1957,61,High School Graduate,Mixed,Prefer not to say,Single / Never Married,Don't Know,Strongly Disapprove,Not Sure,[Democrat / Candidate 1]
408573,1,115,Female,1952,66,4-Year,White,70k - 80k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
408595,11,115,Female,1968,50,No HS,Mixed,10k - 20k,Separated,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
408620,7,115,Male,1965,53,4-Year,White,60k - 70k,Divorced,Some of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
408628,32,115,Female,1966,52,Some College,White,30k - 40k,Single / Never Married,Hardly at all,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
408632,37,115,Male,1953,65,4-Year,White,120k - 150k,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
408641,3,115,Female,1960,58,High School Graduate,White,20k - 30k,Married,Most of the time,Strongly Approve,Not Sure,[Democrat / Candidate 1]
408653,38,115,Female,1962,56,High School Graduate,Hispanic,Prefer not to say,Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408659,43,115,Female,1972,46,Post-Grad,White,30k - 40k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
408669,38,115,Male,1955,63,Post-Grad,Asian,Prefer not to say,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
408679,52,115,Female,1963,55,4-Year,White,100k - 120k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408696,2,115,Female,1952,66,Some College,White,10k - 20k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
408700,29,115,Female,1972,46,Some College,Hispanic,30k - 40k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
408725,7,115,Female,1995,23,Some College,White,80k - 100k,Single / Never Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
408734,17,115,Male,1995,23,Some College,Asian,40k - 50k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
408737,4,115,Female,1956,62,4-Year,White,150k+,Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
408760,40,115,Female,1961,57,2-Year,Hispanic,10k - 20k,Divorced,Only now and then,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1]
408776,32,115,Male,1967,51,2-Year,Hispanic,50k - 60k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2]
408797,17,115,Male,1985,33,Post-Grad,Asian,80k - 100k,Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
408806,26,115,Male,1954,64,High School Graduate,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408814,36,115,Female,1955,63,High School Graduate,White,10k - 20k,Married,Only now and then,Disapprove / Somewhat Disapprove,Liberal,[Republican / Candidate 2]
408845,2,115,Male,1985,33,Some College,White,120k - 150k,Divorced,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
408846,48,115,Female,1975,43,4-Year,White,80k - 100k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
408850,6,115,Female,1973,45,2-Year,White,30k - 40k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
408852,39,115,Female,1936,82,High School Graduate,White,Prefer not to say,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
408856,30,115,Male,1959,59,Post-Grad,White,Less than 10k,Divorced,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
408858,4,115,Female,1975,43,2-Year,White,60k - 70k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
408868,22,115,Female,1971,47,Post-Grad,Mixed,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
408904,26,115,Male,1957,61,4-Year,White,40k - 50k,Divorced,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
408906,19,115,Female,1981,37,Some College,Asian,80k - 100k,Single / Never Married,Hardly at all,Never Heard / Not Sure,Not Sure,[Democrat / Candidate 1]
408934,3,115,Female,1973,45,4-Year,White,30k - 40k,Married,Only now and then,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
408950,1,115,Male,1959,59,Post-Grad,Other,10k - 20k,Widowed,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
408956,4,115,Male,1938,80,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
408968,6,115,Female,1971,47,Some College,White,30k - 40k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408992,24,115,Female,1943,75,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
408996,5,115,Female,1963,55,No HS,White,50k - 60k,Single / Never Married,Some of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
408999,12,115,Male,1952,66,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
409014,27,115,Female,1959,59,4-Year,Hispanic,80k - 100k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
409051,14,115,Female,1958,60,High School Graduate,Black,Less than 10k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,[Democrat / Candidate 1]
409052,31,115,Female,1958,60,Post-Grad,White,150k+,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
409056,51,115,Male,1987,31,4-Year,Hispanic,20k - 30k,Single / Never Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
409059,36,115,Male,1965,53,2-Year,White,60k - 70k,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
409075,39,115,Female,1980,38,Some College,White,40k - 50k,Married,Some of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
409105,43,115,Female,1951,67,High School Graduate,Black,10k - 20k,Divorced,Some of the time,Disapprove / Somewhat Disapprove,Conservative,[Democrat / Candidate 1]
409108,37,115,Male,1961,57,High School Graduate,Black,40k - 50k,Divorced,Some of the time,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1]
409123,26,115,Female,1940,78,No HS,White,20k - 30k,Widowed,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
409143,19,115,Male,1979,39,4-Year,Mixed,Less than 10k,Domestic Partnership,Most of the time,Strongly Disapprove,Liberal,[Republican / Candidate 2]
409144,36,115,Female,1959,59,4-Year,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
409145,43,115,Female,1949,69,Some College,Black,40k - 50k,Domestic Partnership,Hardly at all,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1]
409167,35,115,Female,1982,36,2-Year,White,20k - 30k,Divorced,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
409178,8,115,Female,1973,45,4-Year,Hispanic,120k - 150k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
409185,52,115,Male,1970,48,Some College,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
409193,49,115,Female,1965,53,4-Year,White,30k - 40k,Divorced,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
409215,35,115,Female,1975,43,High School Graduate,Hispanic,30k - 40k,Married,Some of the time,Disapprove / Somewhat Disapprove,Very Conservative,[Democrat / Candidate 1]
409217,26,115,Male,1960,58,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
409218,14,115,Female,1971,47,Some College,Asian,Prefer not to say,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
409247,23,115,Female,1953,65,No HS,Black,10k - 20k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
409250,38,115,Male,1961,57,4-Year,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
409264,52,115,Female,1997,21,Some College,White,Less than 10k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,[Democrat / Candidate 1]
409272,34,115,Male,1979,39,4-Year,Asian,70k - 80k,Divorced,Hardly at all,Strongly Disapprove,Liberal,[Democrat / Candidate 1]
409274,10,115,Female,1968,50,Some College,White,80k - 100k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
409276,34,115,Female,1978,40,Some College,White,50k - 60k,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
409287,45,115,Female,1985,33,4-Year,White,100k - 120k,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1]
409288,15,115,Male,1975,43,Post-Grad,Asian,150k+,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
409304,26,115,Female,1954,64,2-Year,White,30k - 40k,Divorced,Some of the time,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1]
409309,38,115,Male,1967,51,High School Graduate,Hispanic,Prefer not to say,Single / Never Married,Some of the time,Strongly Approve,Very Conservative,[Democrat / Candidate 1]
409310,44,115,Female,1972,46,High School Graduate,Hispanic,20k - 30k,Single / Never Married,Don't Know,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
409317,23,115,Female,1978,40,High School Graduate,White,10k - 20k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
409334,14,115,Male,1971,47,Post-Grad,Mixed,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
409338,26,115,Female,1977,41,High School Graduate,White,Less than 10k,Divorced,Only now and then,Never Heard / Not Sure,Very Conservative,[Republican / Candidate 2]
409346,52,115,Male,1993,25,Post-Grad,White,60k - 70k,Domestic Partnership,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
409379,12,115,Male,1962,56,Some College,Asian,100k - 120k,Single / Never Married,Only now and then,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1]
409388,27,115,Female,1989,29,4-Year,Asian,30k - 40k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
409407,16,115,Male,1969,49,High School Graduate,Hispanic,20k - 30k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
409408,5,115,Male,1954,64,High School Graduate,White,20k - 30k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
409417,1,115,Male,1957,61,2-Year,White,30k - 40k,Married,Hardly at all,Never Heard / Not Sure,Conservative,[Republican / Candidate 2]
409435,16,115,Male,1947,71,Post-Grad,Hispanic,Prefer not to say,Single / Never Married,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
409463,6,115,Male,1955,63,4-Year,White,150k+,Married,Some of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
409465,41,115,Male,1954,64,Some College,Hispanic,40k - 50k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
409640,31,115,Female,1970,48,4-Year,Asian,30k - 40k,Divorced,Some of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
409688,6,115,Female,1947,71,High School Graduate,White,Prefer not to say,Married,Some of the time,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
409722,4,115,Male,1978,40,4-Year,White,70k - 80k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Republican / Candidate 2]
409768,19,115,Male,1954,64,Post-Grad,White,150k+,Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
409775,3,115,Male,1956,62,Some College,White,Prefer not to say,Domestic Partnership,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
409798,4,115,Male,1940,78,Some College,Hispanic,100k - 120k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
409853,15,115,Male,1948,70,Post-Grad,Mixed,150k+,Married,Most of the time,Strongly Disapprove,Moderate,I Did Not Vote In This Race
409876,36,115,Male,1935,83,4-Year,White,Prefer not to say,Divorced,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
409942,21,115,Female,1958,60,High School Graduate,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
409975,39,115,Female,1940,78,High School Graduate,White,80k - 100k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
410026,33,115,Female,1989,29,2-Year,White,80k - 100k,Divorced,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
410027,43,115,Male,1956,62,Some College,Hispanic,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
410031,52,115,Male,1964,54,4-Year,Asian,70k - 80k,Married,Only now and then,Approve / Somewhat Approve,Moderate,[Republican / Candidate 2]
410063,42,115,Male,1974,44,High School Graduate,Other,80k - 100k,Single / Never Married,Don't Know,Never Heard / Not Sure,Not Sure,Not Sure
410076,15,115,Female,1981,37,2-Year,White,70k - 80k,Divorced,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
410119,3,115,Male,1960,58,4-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
410166,33,115,Male,1960,58,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Conservative,[Democrat / Candidate 1]
410250,5,115,Female,1968,50,Some College,White,10k - 20k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
410265,50,115,Male,1963,55,2-Year,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
410266,52,115,Female,1938,80,Some College,White,Prefer not to say,Widowed,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
410297,8,115,Male,1960,58,Some College,White,150k+,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
410298,2,115,Male,1953,65,High School Graduate,Native American,20k - 30k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
410394,11,115,Female,1955,63,Post-Grad,White,120k - 150k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2]
410398,36,115,Female,1988,30,Some College,White,30k - 40k,Married,Only now and then,Strongly Disapprove,Moderate,[Democrat / Candidate 1]
410441,3,115,Female,1982,36,4-Year,Black,60k - 70k,Single / Never Married,Most of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
410443,13,115,Male,1989,29,Some College,Mixed,10k - 20k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
410449,50,115,Male,1976,42,Some College,White,80k - 100k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
410466,31,115,Male,1951,67,High School Graduate,Hispanic,150k+,Married,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
410468,36,115,Male,1952,66,4-Year,White,150k+,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
410471,11,115,Female,1958,60,2-Year,White,20k - 30k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Conservative,[Republican / Candidate 2]
410517,10,115,Female,1971,47,4-Year,Middle Eastern,80k - 100k,Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
410530,47,115,Male,1962,56,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Liberal,I Did Not Vote In This Race
410533,32,115,Male,1954,64,High School Graduate,White,70k - 80k,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
410536,24,115,Male,1970,48,Some College,White,20k - 30k,Separated,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
410538,39,115,Male,1961,57,Some College,Native American,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
410539,52,115,Male,1961,57,Some College,White,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
410550,5,115,Female,1994,24,4-Year,White,120k - 150k,Single / Never Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
410553,53,115,Male,1978,40,Some College,Hispanic,70k - 80k,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
410556,8,115,Female,1965,53,High School Graduate,White,30k - 40k,Married,Only now and then,Strongly Disapprove,Conservative,[Democrat / Candidate 1]
410561,8,115,Male,1980,38,4-Year,Hispanic,60k - 70k,Married,Some of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
410578,6,115,Female,1941,77,Some College,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
410595,14,115,Female,1982,36,Post-Grad,Asian,30k - 40k,Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
410602,25,115,Female,1954,64,High School Graduate,Hispanic,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
410608,25,115,Female,1980,38,4-Year,White,120k - 150k,Married,Hardly at all,Disapprove / Somewhat Disapprove,Liberal,[Democrat / Candidate 1]
410623,39,115,Female,1964,54,4-Year,Asian,120k - 150k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
410636,9,115,Female,1946,72,Post-Grad,Black,Prefer not to say,Domestic Partnership,Most of the time,Disapprove / Somewhat Disapprove,Very Liberal,[Democrat / Candidate 1]
410645,23,115,Female,1952,66,Some College,White,40k - 50k,Divorced,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
410689,6,115,Female,1944,74,High School Graduate,White,30k - 40k,Divorced,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
410704,24,115,Female,1947,71,Post-Grad,White,120k - 150k,Widowed,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
410711,49,115,Female,1950,68,No HS,White,10k - 20k,Divorced,Some of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
410749,6,115,Male,1960,58,Some College,White,10k - 20k,Single / Never Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
410758,12,115,Male,1964,54,Some College,White,80k - 100k,Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
410793,38,115,Female,1971,47,Some College,Hispanic,Less than 10k,Married,Some of the time,Strongly Disapprove,Moderate,[Democrat / Candidate 1]
410801,25,115,Female,1955,63,High School Graduate,White,70k - 80k,Married,Only now and then,Strongly Disapprove,Conservative,[Republican / Candidate 2]
410821,47,115,Female,1985,33,High School Graduate,White,10k - 20k,Married,Some of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
410838,37,115,Male,1967,51,Some College,White,Less than 10k,Single / Never Married,Most of the time,Strongly Disapprove,Very Conservative,[Republican / Candidate 2]
410858,16,115,Male,1971,47,2-Year,White,40k - 50k,Married,Some of the time,Strongly Disapprove,Moderate,[Republican / Candidate 2]
410859,17,115,Male,1991,27,Post-Grad,White,80k - 100k,Single / Never Married,Most of the time,Approve / Somewhat Approve,Moderate,[Democrat / Candidate 1]
410892,37,115,Female,1982,36,4-Year,Hispanic,120k - 150k,Single / Never Married,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
410905,7,115,Female,1960,58,Some College,White,80k - 100k,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
410922,18,115,Female,1992,26,Post-Grad,Hispanic,Prefer not to say,Single / Never Married,Some of the time,Never Heard / Not Sure,Liberal,[Democrat / Candidate 1]
410924,28,115,Male,1950,68,High School Graduate,White,Prefer not to say,Single / Never Married,Most of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
410945,2,115,Female,1968,50,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
410955,6,115,Female,1974,44,Post-Grad,White,120k - 150k,Married,Some of the time,Strongly Approve,Very Liberal,[Democrat / Candidate 1]
410960,39,115,Female,1956,62,Some College,White,50k - 60k,Divorced,Most of the time,Strongly Approve,Liberal,[Democrat / Candidate 1]
410984,11,115,Male,1989,29,4-Year,White,Prefer not to say,Single / Never Married,Most of the time,Approve / Somewhat Approve,Very Liberal,[Democrat / Candidate 1]
410997,45,115,Female,1974,44,4-Year,White,150k+,Married,Most of the time,Approve / Somewhat Approve,Conservative,[Republican / Candidate 2]
411016,14,115,Male,1980,38,Post-Grad,White,Prefer not to say,Married,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
411026,7,115,Male,1962,56,2-Year,White,100k - 120k,Married,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
411035,4,115,Male,1931,87,4-Year,White,10k - 20k,Widowed,Most of the time,Approve / Somewhat Approve,Liberal,[Democrat / Candidate 1]
411080,39,115,Male,1935,83,4-Year,White,80k - 100k,Domestic Partnership,Most of the time,Strongly Disapprove,Conservative,[Republican / Candidate 2]
411084,31,115,Male,1983,35,Post-Grad,White,60k - 70k,Single / Never Married,Most of the time,Disapprove / Somewhat Disapprove,Moderate,I Did Not Vote In This Race
411102,5,115,Female,1969,49,Some College,Black,50k - 60k,Widowed,Only now and then,Disapprove / Somewhat Disapprove,Moderate,[Republican / Candidate 2]
411106,16,115,Male,1955,63,High School Graduate,Hispanic,50k - 60k,Divorced,Most of the time,Strongly Approve,Moderate,[Democrat / Candidate 1]
